,district,students_in_grade_12_19,act_test_takers_19,act_read_19,act_eng_19,act_math_19,act_sci_19,act_comp_over_21_19,act_19_participation,students_in_grade_12_20,act_test_takers_20,act_eng_20,act_read_20,act_math_20,act_sci_20,act_comp_over_21_20,act_20_participation
0,Alameda County Office of Education,170.0,0.0,,,,,,0.0,216,0,,,,,,0.0
1,Alameda Unified,919.0,155.0,27.0,26.0,26.0,25.0,0.86,0.16866158868335146,928,103,26.0,26.0,25.0,25.0,0.84,0.11099137931034483
2,Albany City Unified,307.0,58.0,28.0,27.0,27.0,26.0,0.88,0.18892508143322476,258,29,28.0,29.0,26.0,26.0,0.93,0.1124031007751938
3,Berkeley Unified,820.0,227.0,26.0,25.0,25.0,24.0,0.73,0.27682926829268295,825,183,25.0,26.0,24.0,25.0,0.72,0.22181818181818183
4,Castro Valley Unified,737.0,106.0,26.0,25.0,25.0,25.0,0.77,0.14382632293080055,781,99,25.0,26.0,25.0,25.0,0.83,0.1267605633802817
5,Emery Unified,40.0,0.0,,,,,,0.0,57,4,,,,,,0.07017543859649122
6,Fremont Unified,2537.0,511.0,29.0,30.0,30.0,29.0,0.93,0.20141899881750097,2608,471,31.0,30.0,30.0,29.0,0.93,0.18059815950920247
7,Hayward Unified,1601.0,256.0,19.0,19.0,19.0,19.0,0.36,0.1599000624609619,1699,225,19.0,20.0,19.0,20.0,0.4,0.13243084167157151
8,Livermore Valley Joint Unified,1128.0,249.0,26.0,25.0,25.0,25.0,0.81,0.22074468085106383,1148,173,25.0,26.0,26.0,25.0,0.85,0.15069686411149827
9,Newark Unified,460.0,31.0,22.0,22.0,22.0,22.0,0.71,0.06739130434782609,462,29,24.0,24.0,23.0,23.0,0.69,0.06277056277056277
10,New Haven Unified,1043.0,132.0,24.0,23.0,24.0,24.0,0.68,0.12655800575263662,1057,114,24.0,25.0,25.0,24.0,0.76,0.10785241248817408
11,Oakland Unified,3663.0,809.0,19.0,18.0,19.0,19.0,0.34,0.22085722085722087,3663,762,17.0,18.0,18.0,18.0,0.27,0.20802620802620803
12,Piedmont City Unified,231.0,116.0,30.0,31.0,29.0,29.0,0.95,0.5021645021645021,210,99,30.0,30.0,28.0,29.0,0.95,0.4714285714285714
13,San Leandro Unified,754.0,78.0,22.0,21.0,21.0,22.0,0.56,0.10344827586206896,727,64,20.0,22.0,20.0,21.0,0.48,0.08803301237964237
14,San Lorenzo Unified,1099.0,189.0,21.0,21.0,21.0,21.0,0.49,0.17197452229299362,1014,196,21.0,21.0,21.0,21.0,0.51,0.1932938856015779
15,Dublin Unified,695.0,216.0,28.0,28.0,28.0,27.0,0.87,0.3107913669064748,789,203,27.0,27.0,27.0,27.0,0.84,0.2572877059569075
16,Pleasanton Unified,1251.0,476.0,29.0,29.0,28.0,28.0,0.91,0.38049560351718625,1279,411,29.0,29.0,28.0,28.0,0.92,0.32134480062548865
17,Amador County Office of Education,15.0,0.0,,,,,,0.0,31,0,,,,,,0.0
18,Amador County Unified,290.0,37.0,24.0,23.0,23.0,22.0,0.78,0.12758620689655173,319,35,22.0,24.0,22.0,23.0,0.69,0.109717868338558
19,Butte County Office of Education,207.0,10.0,,,,,,0.04830917874396135,187,0,,,,,,0.0
20,Biggs Unified,57.0,5.0,,,,,,0.08771929824561403,47,1,,,,,,0.02127659574468085
21,Chico Unified,1175.0,137.0,24.0,23.0,24.0,24.0,0.72,0.11659574468085106,1135,76,26.0,27.0,27.0,25.0,0.83,0.06696035242290749
22,Durham Unified,72.0,3.0,,,,,,0.041666666666666664,72,6,,,,,,0.08333333333333333
23,Oroville Union High,521.0,33.0,21.0,19.0,20.0,20.0,0.39,0.06333973128598848,517,14,,,,,,0.027079303675048357
24,Paradise Unified,328.0,23.0,23.0,21.0,24.0,23.0,0.74,0.0701219512195122,212,7,,,,,,0.0330188679245283
25,Gridley Unified,175.0,15.0,22.0,22.0,24.0,22.0,0.6,0.08571428571428572,165,21,21.0,23.0,22.0,21.0,0.62,0.12727272727272726
26,Calaveras County Office of Education,65.0,0.0,,,,,,0.0,65,0,,,,,,0.0
27,Bret Harte Union High,170.0,12.0,,,,,,0.07058823529411765,155,8,,,,,,0.05161290322580645
28,Calaveras Unified,216.0,19.0,25.0,22.0,24.0,23.0,0.84,0.08796296296296297,212,18,23.0,23.0,23.0,23.0,0.78,0.08490566037735849
29,Colusa Unified,109.0,5.0,,,,,,0.045871559633027525,120,8,,,,,,0.06666666666666667
30,Maxwell Unified,29.0,0.0,,,,,,0.0,26,0,,,,,,0.0
31,Pierce Joint Unified,107.0,16.0,19.0,17.0,19.0,19.0,0.31,0.14953271028037382,107,13,,,,,,0.12149532710280374
32,Williams Unified,87.0,5.0,,,,,,0.05747126436781609,97,2,,,,,,0.020618556701030927
33,Contra Costa County Office of Education,771.0,153.0,24.0,23.0,23.0,23.0,0.7,0.19844357976653695,899,102,18.0,19.0,18.0,18.0,0.31,0.11345939933259176
34,Acalanes Union High,1408.0,539.0,29.0,28.0,27.0,27.0,0.9,0.3828125,1385,504,28.0,29.0,27.0,27.0,0.91,0.36389891696750903
35,Antioch Unified,1543.0,117.0,22.0,20.0,20.0,20.0,0.42,0.07582631237848347,1410,66,21.0,22.0,20.0,21.0,0.5,0.04680851063829787
36,Byron Union Elementary,104.0,5.0,,,,,,0.04807692307692308,77,0,,,,,,0.0
37,John Swett Unified,123.0,13.0,,,,,,0.10569105691056911,148,12,,,,,,0.08108108108108109
38,Liberty Union High,2138.0,284.0,24.0,23.0,22.0,23.0,0.64,0.13283442469597756,2090,245,22.0,24.0,22.0,22.0,0.68,0.11722488038277512
39,Martinez Unified,349.0,42.0,25.0,23.0,24.0,23.0,0.74,0.12034383954154727,315,28,24.0,25.0,24.0,24.0,0.86,0.08888888888888889
40,Mt. Diablo Unified,2145.0,323.0,25.0,25.0,25.0,24.0,0.75,0.15058275058275059,2260,290,24.0,25.0,24.0,24.0,0.71,0.12831858407079647
41,Pittsburg Unified,840.0,155.0,19.0,19.0,19.0,19.0,0.29,0.18452380952380953,938,137,19.0,20.0,19.0,20.0,0.38,0.1460554371002132
42,West Contra Costa Unified,2520.0,475.0,19.0,18.0,18.0,18.0,0.27,0.1884920634920635,2579,422,19.0,20.0,19.0,19.0,0.35,0.16362931368747577
43,San Ramon Valley Unified,2652.0,1077.0,28.0,28.0,27.0,27.0,0.9,0.4061085972850679,2748,962,28.0,28.0,28.0,27.0,0.91,0.3500727802037846
44,Del Norte County Office of Education,117.0,0.0,,,,,,0.0,100,0,,,,,,0.0
45,Del Norte County Unified,246.0,5.0,,,,,,0.02032520325203252,244,32,20.0,21.0,21.0,21.0,0.53,0.13114754098360656
46,El Dorado County Office of Education,225.0,2.0,,,,,,0.008888888888888889,195,0,,,,,,0.0
47,Buckeye Union Elementary,25.0,0.0,,,,,,0.0,49,0,,,,,,0.0
48,El Dorado Union High,1609.0,403.0,25.0,25.0,25.0,24.0,0.8,0.2504661280298322,1653,364,25.0,25.0,25.0,25.0,0.77,0.22020568663036902
49,Lake Tahoe Unified,275.0,54.0,23.0,22.0,22.0,22.0,0.59,0.19636363636363635,276,51,22.0,24.0,22.0,23.0,0.67,0.18478260869565216
50,Black Oak Mine Unified,92.0,6.0,,,,,,0.06521739130434782,89,3,,,,,,0.033707865168539325
51,Fresno County Office of Education,359.0,8.0,,,,,,0.022284122562674095,302,0,,,,,,0.0
52,Clovis Unified,3305.0,479.0,25.0,24.0,24.0,24.0,0.75,0.1449319213313162,3313,417,24.0,26.0,25.0,25.0,0.79,0.12586779354059766
53,Coalinga-Huron Unified,288.0,5.0,,,,,,0.017361111111111112,304,5,,,,,,0.01644736842105263
54,Fowler Unified,211.0,10.0,,,,,,0.04739336492890995,169,4,,,,,,0.023668639053254437
55,Fresno Unified,4593.0,574.0,20.0,19.0,19.0,19.0,0.35,0.12497278467232746,4948,458,20.0,21.0,20.0,20.0,0.47,0.0925626515763945
56,Kingsburg Joint Union High,276.0,41.0,23.0,21.0,22.0,21.0,0.63,0.14855072463768115,275,34,23.0,24.0,24.0,24.0,0.71,0.12363636363636364
57,Kings Canyon Joint Unified,619.0,169.0,19.0,17.0,18.0,18.0,0.2,0.2730210016155089,762,205,17.0,19.0,18.0,19.0,0.25,0.2690288713910761
58,Laton Joint Unified,47.0,8.0,,,,,,0.1702127659574468,45,8,,,,,,0.17777777777777778
59,Orange Center,50.0,1.0,,,,,,0.02,68,0,,,,,,0.0
60,Parlier Unified,232.0,33.0,18.0,16.0,18.0,18.0,0.24,0.14224137931034483,253,38,15.0,18.0,17.0,18.0,0.18,0.15019762845849802
61,Raisin City Elementary,39.0,0.0,,,,,,0.0,20,0,,,,,,0.0
62,Sanger Unified,850.0,62.0,21.0,19.0,20.0,21.0,0.44,0.07294117647058823,857,71,18.0,20.0,20.0,20.0,0.41,0.08284714119019837
63,Selma Unified,499.0,12.0,,,,,,0.02404809619238477,472,32,19.0,20.0,20.0,19.0,0.44,0.06779661016949153
64,West Park Elementary,69.0,0.0,,,,,,0.0,68,0,,,,,,0.0
65,Westside Elementary,96.0,3.0,,,,,,0.03125,123,1,,,,,,0.008130081300813009
66,Firebaugh-Las Deltas Unified,170.0,31.0,16.0,15.0,16.0,17.0,0.1,0.18235294117647058,162,36,17.0,19.0,16.0,18.0,0.17,0.2222222222222222
67,Central Unified,1096.0,37.0,22.0,21.0,20.0,22.0,0.54,0.03375912408759124,1118,24,17.0,20.0,19.0,20.0,0.42,0.02146690518783542
68,Kerman Unified,416.0,38.0,22.0,21.0,21.0,23.0,0.47,0.09134615384615384,367,42,17.0,18.0,18.0,19.0,0.31,0.11444141689373297
69,Mendota Unified,234.0,82.0,16.0,15.0,17.0,16.0,0.09,0.3504273504273504,185,82,15.0,17.0,17.0,18.0,0.11,0.44324324324324327
70,Golden Plains Unified,125.0,19.0,15.0,14.0,15.0,15.0,0.0,0.152,108,5,,,,,,0.046296296296296294
71,Sierra Unified,103.0,14.0,,,,,,0.13592233009708737,96,9,,,,,,0.09375
72,Riverdale Joint Unified,127.0,50.0,16.0,15.0,18.0,18.0,0.14,0.3937007874015748,138,27,18.0,20.0,19.0,20.0,0.3,0.1956521739130435
73,Caruthers Unified,156.0,8.0,,,,,,0.05128205128205128,163,14,,,,,,0.08588957055214724
74,Washington Unified,339.0,121.0,16.0,15.0,16.0,16.0,0.08,0.35693215339233036,337,144,16.0,18.0,17.0,18.0,0.16,0.42729970326409494
75,Washington Unified,563.0,54.0,21.0,19.0,20.0,20.0,0.43,0.09591474245115453,337,144,16.0,18.0,17.0,18.0,0.16,0.42729970326409494
76,Glenn County Office of Education,91.0,0.0,,,,,,0.0,103,0,,,,,,0.0
77,Princeton Joint Unified,15.0,0.0,,,,,,0.0,15,1,,,,,,0.06666666666666667
78,Willows Unified,123.0,5.0,,,,,,0.04065040650406504,124,9,,,,,,0.07258064516129033
79,Orland Joint Unified,177.0,37.0,23.0,21.0,19.0,21.0,0.46,0.20903954802259886,192,8,,,,,,0.041666666666666664
80,Hamilton Unified,90.0,30.0,18.0,18.0,18.0,19.0,0.23,0.3333333333333333,55,4,,,,,,0.07272727272727272
81,Humboldt County Office of Education,87.0,0.0,,,,,,0.0,100,0,,,,,,0.0
82,Northern Humboldt Union High,424.0,49.0,27.0,26.0,25.0,26.0,0.88,0.11556603773584906,408,32,24.0,26.0,24.0,24.0,0.72,0.0784313725490196
83,Fortuna Union High,274.0,24.0,24.0,22.0,23.0,22.0,0.54,0.08759124087591241,230,8,,,,,,0.034782608695652174
84,Klamath-Trinity Joint Unified,71.0,0.0,,,,,,0.0,76,0,,,,,,0.0
85,South Bay Union Elementary,51.0,0.0,,,,,,0.0,45,0,,,,,,0.0
86,Southern Humboldt Joint Unified,51.0,9.0,,,,,,0.17647058823529413,49,3,,,,,,0.061224489795918366
87,Ferndale Unified,34.0,2.0,,,,,,0.058823529411764705,36,2,,,,,,0.05555555555555555
88,Eureka City Schools,347.0,23.0,24.0,22.0,23.0,22.0,0.7,0.06628242074927954,310,13,,,,,,0.041935483870967745
89,Imperial County Office of Education,290.0,0.0,,,,,,0.0,340,0,,,,,,0.0
90,Brawley Union High,471.0,115.0,19.0,18.0,18.0,18.0,0.3,0.24416135881104034,456,119,18.0,20.0,19.0,18.0,0.29,0.26096491228070173
91,Calexico Unified,879.0,90.0,20.0,19.0,21.0,20.0,0.39,0.10238907849829351,816,29,21.0,22.0,23.0,21.0,0.69,0.03553921568627451
92,Calipatria Unified,91.0,19.0,20.0,21.0,19.0,20.0,0.47,0.2087912087912088,84,13,,,,,,0.15476190476190477
93,Central Union High,958.0,172.0,19.0,18.0,19.0,19.0,0.34,0.17954070981210857,958,98,18.0,20.0,20.0,19.0,0.4,0.1022964509394572
94,Holtville Unified,151.0,29.0,20.0,18.0,20.0,19.0,0.31,0.19205298013245034,130,9,,,,,,0.06923076923076923
95,Imperial Unified,279.0,65.0,23.0,22.0,21.0,22.0,0.54,0.23297491039426524,279,41,22.0,23.0,23.0,23.0,0.73,0.14695340501792115
96,San Pasqual Valley Unified,49.0,6.0,,,,,,0.12244897959183673,58,11,,,,,,0.1896551724137931
97,Inyo County Office of Education,361.0,0.0,,,,,,0.0,330,0,,,,,,0.0
98,Lone Pine Unified,16.0,1.0,,,,,,0.0625,18,0,,,,,,0.0
99,Bishop Unified,158.0,27.0,23.0,22.0,22.0,22.0,0.7,0.17088607594936708,154,17,23.0,26.0,23.0,24.0,0.88,0.11038961038961038
100,Kern County Office of Education,582.0,126.0,18.0,18.0,18.0,18.0,0.28,0.21649484536082475,389,0,,,,,,0.0
101,Delano Joint Union High,1004.0,194.0,19.0,18.0,20.0,19.0,0.36,0.19322709163346613,1022,185,18.0,20.0,20.0,18.0,0.35,0.18101761252446183
102,Kern High,10175.0,741.0,22.0,20.0,21.0,21.0,0.49,0.07282555282555282,10529,631,20.0,22.0,21.0,21.0,0.51,0.05992971792192991
103,Maricopa Unified,358.0,0.0,,,,,,0.0,677,0,,,,,,0.0
104,Mojave Unified,143.0,31.0,17.0,14.0,16.0,16.0,0.1,0.21678321678321677,166,26,17.0,19.0,17.0,18.0,0.31,0.1566265060240964
105,Muroc Joint Unified,123.0,8.0,,,,,,0.06504065040650407,102,5,,,,,,0.049019607843137254
106,Southern Kern Unified,234.0,6.0,,,,,,0.02564102564102564,244,0,,,,,,0.0
107,Taft Union High,238.0,35.0,21.0,18.0,19.0,19.0,0.31,0.14705882352941177,259,51,18.0,20.0,18.0,18.0,0.33,0.1969111969111969
108,Tehachapi Unified,296.0,14.0,,,,,,0.0472972972972973,304,15,24.0,27.0,24.0,25.0,0.73,0.049342105263157895
109,Wasco Union High,453.0,71.0,19.0,18.0,20.0,20.0,0.34,0.15673289183222958,405,85,19.0,20.0,20.0,20.0,0.33,0.20987654320987653
110,Sierra Sands Unified,353.0,15.0,27.0,26.0,27.0,26.0,0.93,0.042492917847025496,360,3,,,,,,0.008333333333333333
111,McFarland Unified,209.0,16.0,18.0,16.0,19.0,17.0,0.25,0.07655502392344497,238,88,15.0,17.0,18.0,17.0,0.2,0.3697478991596639
112,El Tejon Unified,61.0,0.0,,,,,,0.0,71,0,,,,,,0.0
113,Kings County Office of Education,80.0,0.0,,,,,,0.0,78,0,,,,,,0.0
114,Armona Union Elementary,73.0,1.0,,,,,,0.0136986301369863,78,0,,,,,,0.0
115,Corcoran Joint Unified,187.0,40.0,18.0,17.0,18.0,19.0,0.25,0.21390374331550802,197,30,15.0,17.0,17.0,18.0,0.1,0.15228426395939088
116,Hanford Joint Union High,897.0,45.0,22.0,21.0,20.0,21.0,0.56,0.05016722408026756,900,35,21.0,22.0,23.0,21.0,0.69,0.03888888888888889
117,Kit Carson Union Elementary,75.0,0.0,,,,,,0.0,142,0,,,,,,0.0
118,Lemoore Union High,527.0,84.0,21.0,19.0,19.0,19.0,0.35,0.15939278937381404,504,39,20.0,21.0,21.0,21.0,0.41,0.07738095238095238
119,Reef-Sunset Unified,165.0,112.0,16.0,14.0,15.0,16.0,0.04,0.6787878787878788,124,78,15.0,16.0,16.0,16.0,0.1,0.6290322580645161
120,Kelseyville Unified,129.0,18.0,19.0,19.0,19.0,18.0,0.39,0.13953488372093023,138,2,,,,,,0.014492753623188406
121,Konocti Unified,211.0,16.0,22.0,20.0,18.0,20.0,0.38,0.07582938388625593,230,17,21.0,22.0,19.0,19.0,0.47,0.07391304347826087
122,Lakeport Unified,88.0,2.0,,,,,,0.022727272727272728,103,2,,,,,,0.019417475728155338
123,Middletown Unified,154.0,11.0,,,,,,0.07142857142857142,164,7,,,,,,0.042682926829268296
124,Upper Lake Unified,83.0,18.0,18.0,16.0,17.0,17.0,0.22,0.21686746987951808,69,15,15.0,18.0,15.0,16.0,0.07,0.21739130434782608
125,Lassen Union High,190.0,27.0,22.0,21.0,21.0,21.0,0.56,0.14210526315789473,176,26,19.0,22.0,20.0,21.0,0.38,0.14772727272727273
126,Susanville Elementary,,,,,,,,,25,0,,,,,,0.0
127,Westwood Unified,,,,,,,,,15,1,,,,,,0.06666666666666667
128,Fort Sage Unified,30.0,0.0,,,,,,0.0,35,0,,,,,,0.0
129,Los Angeles County Office of Education,1236.0,245.0,20.0,19.0,19.0,19.0,0.37,0.1982200647249191,1032,0,,,,,,0.0
130,ABC Unified,1663.0,216.0,26.0,26.0,26.0,25.0,0.8,0.12988574864702346,1687,189,27.0,27.0,27.0,26.0,0.84,0.11203319502074689
131,Antelope Valley Union High,5657.0,339.0,21.0,20.0,19.0,20.0,0.44,0.059925755700901535,5585,317,20.0,21.0,19.0,20.0,0.39,0.0567591763652641
132,Arcadia Unified,857.0,192.0,28.0,29.0,28.0,27.0,0.91,0.22403733955659277,823,151,29.0,29.0,29.0,28.0,0.91,0.18347509113001215
133,Azusa Unified,668.0,49.0,19.0,19.0,19.0,20.0,0.35,0.07335329341317365,698,31,19.0,21.0,21.0,20.0,0.45,0.044412607449856735
134,Baldwin Park Unified,1702.0,222.0,20.0,19.0,20.0,19.0,0.4,0.13043478260869565,1738,151,19.0,21.0,20.0,20.0,0.45,0.08688147295742232
135,Bassett Unified,285.0,21.0,23.0,22.0,22.0,22.0,0.57,0.07368421052631578,252,7,,,,,,0.027777777777777776
136,Bellflower Unified,953.0,31.0,25.0,24.0,22.0,23.0,0.74,0.03252885624344176,998,26,20.0,21.0,20.0,21.0,0.42,0.026052104208416832
137,Beverly Hills Unified,424.0,91.0,28.0,29.0,27.0,26.0,0.86,0.21462264150943397,333,57,30.0,30.0,28.0,28.0,1.0,0.17117117117117117
138,Bonita Unified,865.0,157.0,23.0,22.0,22.0,22.0,0.62,0.1815028901734104,868,93,24.0,25.0,24.0,24.0,0.73,0.10714285714285714
139,Burbank Unified,1331.0,176.0,26.0,25.0,25.0,24.0,0.8,0.1322314049586777,1335,131,25.0,26.0,25.0,24.0,0.82,0.09812734082397004
140,Centinela Valley Union High,1875.0,186.0,18.0,17.0,17.0,18.0,0.16,0.0992,1859,233,17.0,19.0,18.0,18.0,0.28,0.1253362022592792
141,Charter Oak Unified,404.0,38.0,22.0,21.0,22.0,22.0,0.66,0.09405940594059406,390,18,21.0,22.0,21.0,23.0,0.67,0.046153846153846156
142,Claremont Unified,616.0,139.0,25.0,24.0,24.0,24.0,0.74,0.22564935064935066,589,134,25.0,26.0,25.0,25.0,0.84,0.22750424448217318
143,Covina-Valley Unified,1066.0,72.0,21.0,20.0,20.0,20.0,0.4,0.0675422138836773,1078,26,21.0,23.0,21.0,21.0,0.58,0.02411873840445269
144,Culver City Unified,556.0,148.0,24.0,24.0,22.0,23.0,0.64,0.26618705035971224,519,91,25.0,25.0,23.0,24.0,0.75,0.17533718689788053
145,Downey Unified,2147.0,135.0,23.0,22.0,23.0,22.0,0.67,0.06287843502561714,2055,108,22.0,23.0,23.0,22.0,0.68,0.052554744525547446
146,Duarte Unified,405.0,59.0,23.0,23.0,21.0,21.0,0.53,0.145679012345679,448,29,25.0,25.0,21.0,23.0,0.66,0.06473214285714286
147,El Monte Union High,2308.0,302.0,21.0,20.0,21.0,20.0,0.47,0.13084922010398614,2171,332,20.0,20.0,21.0,20.0,0.43,0.15292491939198527
148,El Rancho Unified,731.0,218.0,19.0,18.0,19.0,19.0,0.28,0.2982216142270862,689,108,18.0,20.0,19.0,19.0,0.36,0.1567489114658926
149,El Segundo Unified,319.0,109.0,25.0,25.0,24.0,24.0,0.72,0.34169278996865204,298,70,26.0,26.0,26.0,26.0,0.87,0.2348993288590604
150,Glendale Unified,1978.0,221.0,26.0,26.0,26.0,25.0,0.84,0.11172901921132457,2067,159,28.0,28.0,27.0,27.0,0.89,0.07692307692307693
151,Glendora Unified,639.0,79.0,25.0,23.0,24.0,23.0,0.84,0.12363067292644757,612,63,26.0,26.0,27.0,25.0,0.87,0.10294117647058823
152,Gorman Joint,113.0,10.0,,,,,,0.08849557522123894,106,3,,,,,,0.02830188679245283
153,Hawthorne,112.0,112.0,20.0,20.0,21.0,19.0,0.44,1.0,124,118,21.0,22.0,22.0,20.0,0.54,0.9516129032258065
154,Inglewood Unified,695.0,227.0,17.0,16.0,17.0,17.0,0.16,0.32661870503597124,666,210,16.0,17.0,16.0,17.0,0.15,0.3153153153153153
155,La Canada Unified,347.0,138.0,29.0,29.0,29.0,28.0,0.94,0.3976945244956772,340,113,29.0,29.0,28.0,28.0,0.94,0.3323529411764706
156,Las Virgenes Unified,986.0,322.0,27.0,27.0,25.0,25.0,0.84,0.3265720081135903,963,282,28.0,27.0,25.0,25.0,0.85,0.29283489096573206
157,Lawndale Elementary,126.0,96.0,17.0,17.0,18.0,17.0,0.2,0.7619047619047619,124,0,,,,,,0.0
158,Lennox,296.0,232.0,17.0,16.0,17.0,17.0,0.17,0.7837837837837838,289,189,17.0,18.0,18.0,17.0,0.22,0.6539792387543253
159,Long Beach Unified,5929.0,582.0,23.0,22.0,22.0,22.0,0.57,0.0981615786810592,5944,374,23.0,24.0,23.0,23.0,0.64,0.06292059219380888
160,Los Angeles Unified,41873.0,9336.0,19.0,18.0,19.0,19.0,0.3,0.22295990256251044,41110,6681,18.0,19.0,19.0,19.0,0.32,0.16251520311359766
161,Lynwood Unified,1072.0,160.0,18.0,17.0,17.0,17.0,0.18,0.14925373134328357,1033,117,17.0,19.0,17.0,18.0,0.21,0.1132623426911907
162,Monrovia Unified,473.0,53.0,21.0,19.0,19.0,19.0,0.3,0.11205073995771671,380,56,21.0,23.0,21.0,21.0,0.61,0.14736842105263157
163,Montebello Unified,2333.0,276.0,19.0,18.0,18.0,19.0,0.27,0.11830261465923704,2336,236,18.0,19.0,18.0,19.0,0.29,0.10102739726027397
164,Norwalk-La Mirada Unified,1403.0,171.0,19.0,18.0,18.0,19.0,0.33,0.12188168210976479,1387,95,19.0,20.0,19.0,20.0,0.32,0.0684931506849315
165,Palmdale Elementary,402.0,31.0,21.0,21.0,20.0,21.0,0.48,0.07711442786069651,335,12,,,,,,0.03582089552238806
166,Palos Verdes Peninsula Unified,1118.0,426.0,27.0,28.0,27.0,26.0,0.88,0.3810375670840787,972,346,28.0,28.0,27.0,27.0,0.9,0.3559670781893004
167,Paramount Unified,1281.0,61.0,21.0,21.0,21.0,22.0,0.57,0.047619047619047616,1300,39,21.0,21.0,21.0,20.0,0.46,0.03
168,Pasadena Unified,1544.0,166.0,22.0,21.0,21.0,21.0,0.53,0.10751295336787564,1400,108,22.0,24.0,21.0,22.0,0.62,0.07714285714285714
169,Pomona Unified,1897.0,266.0,19.0,18.0,18.0,19.0,0.31,0.14022140221402213,1978,209,18.0,19.0,18.0,19.0,0.28,0.10566228513650151
170,San Marino Unified,275.0,95.0,28.0,29.0,29.0,27.0,0.91,0.34545454545454546,264,63,29.0,29.0,30.0,29.0,0.92,0.23863636363636365
171,Santa Monica-Malibu Unified,899.0,280.0,27.0,26.0,25.0,25.0,0.79,0.3114571746384872,849,229,28.0,28.0,26.0,26.0,0.83,0.2697290930506478
172,South Pasadena Unified,370.0,93.0,28.0,27.0,27.0,27.0,0.84,0.25135135135135134,324,68,27.0,27.0,27.0,26.0,0.85,0.20987654320987653
173,Temple City Unified,518.0,90.0,27.0,27.0,27.0,26.0,0.89,0.17374517374517376,510,69,28.0,27.0,28.0,27.0,0.88,0.13529411764705881
